[2026-04-24T14:30:56.935350] AUTHORIZED | Operation: Quick Scan | Target: 192.168.0.137
[2026-04-24T14:35:34.058015] AUTHORIZED | Operation: File System Cleanup & Malware Scan | Target: Local Machine (DESKTOP-TTHHVR4)
[2026-04-24T14:37:34.956970] AUTHORIZED | Operation: File System Cleanup & Malware Scan | Target: Local Machine (DESKTOP-TTHHVR4)
[2026-04-24T14:51:40.523852] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.1
[2026-04-24T14:54:14.817075] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.1
[2026-04-24T14:59:36.552152] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.1
[2026-04-24T15:00:11.492403] AUTHORIZED | Operation: Quick Scan | Target: 192.168.0.137
[2026-04-24T15:12:03.084492] AUTHORIZED | Operation: Quick Scan | Target: 192.168.0.1
[2026-04-25T08:32:45.831880] AUTHORIZED | Operation: Quick Scan | Target: 192.168.0.1
[2026-04-25T08:33:27.262346] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.137
[2026-04-25T08:34:06.443694] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.137
[2026-04-25T08:37:40.886494] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.152
[2026-04-25T08:37:56.785278] AUTHORIZED | Operation: File System Cleanup & Malware Scan | Target: Local Machine (DESKTOP-TTHHVR4)
[2026-04-25T09:40:07.211271] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.167
[2026-04-26T01:36:21.400830] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 192.168.0.137
[2026-04-26T14:51:05.220947] AUTHORIZED | Operation: Quick Scan | Target: 192.168.0.1
[2026-04-27T09:47:37.223776] AUTHORIZED | Operation: Quick Scan | Target: 192.168.1.13
[2026-04-27T11:40:11.325393] AUTHORIZED | Operation: Quick Scan | Target: 172.20.10.204
[2026-04-27T11:40:44.884094] AUTHORIZED | Operation: File System Cleanup & Malware Scan | Target: 172.20.10.1
[2026-04-27T11:54:41.893295] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 172.20.10.137
[2026-04-27T11:55:50.136381] AUTHORIZED | Operation: Deep Vulnerability Scan | Target: 172.20.10.213
[2026-04-27T11:56:08.196759] AUTHORIZED | Operation: File System Cleanup & Malware Scan | Target: 172.20.10.1
